volume,volume_weighted,open,close,high,low,timestamp,num_trades
83717.80414219313,2308.4244,2281.03,2352.76,2353.33,2264.86,2024-01-01,138648
189189.83470199557,2378.1386,2352.57,2356.16,2433.19,2326.3,2024-01-02,245832
306480.6591438211,2246.4179,2356.21,2210.49,2387.1,1860.0,2024-01-03,372677
163152.84234427777,2255.3174,2210.49,2269.47,2298.4,2203.1,2024-01-04,214707
123771.553205898,2244.273,2269.48,2270.35,2279.5,2207.6,2024-01-05,183714
57215.27292939106,2243.4344,2270.29,2240.84,2272.9,2217.0,2024-01-06,112278
57747.90825542143,2238.1788,2241.81,2222.69,2260.0,2206.6,2024-01-07,118874
154772.7179097265,2275.5725,2222.86,2332.51,2360.81,2118.0,2024-01-08,222713
219634.47128214047,2296.0699,2332.52,2344.93,2376.1,2226.7,2024-01-09,306351
413907.6256095077,2449.2961,2344.97,2584.77,2644.42,2340.4,2024-01-10,486514
321015.3767103398,2615.4181,2584.85,2618.31,2691.07,2562.3,2024-01-11,416065
331635.23987870396,2608.8109,2618.37,2522.03,2717.89,2438.29,2024-01-12,410601
146103.43827782635,2550.165,2522.02,2578.12,2589.97,2496.41,2024-01-13,212182
123248.86038725504,2531.1439,2577.5,2471.34,2578.96,2467.97,2024-01-14,175641
93860.33611060827,2515.7594,2471.04,2509.94,2552.5,2468.6,2024-01-15,158788
122922.5691616059,2558.2552,2510.23,2586.83,2616.7,2497.2,2024-01-16,182629
101638.630306657,2544.8212,2586.46,2527.94,2593.9,2505.19,2024-01-17,170732
149615.09800412811,2489.2799,2528.02,2468.82,2549.1,2423.43,2024-01-18,223578
121227.60502965383,2465.5974,2467.0,2490.13,2507.6,2412.4,2024-01-19,195670
34026.20397430053,2471.4235,2489.98,2470.35,2494.0,2452.02,2024-01-20,111048
27181.45960631,2469.3591,2470.51,2455.52,2486.7,2450.83,2024-01-21,98527
193036.2581679735,2370.8445,2455.09,2311.34,2469.4,2301.0,2024-01-22,243633
246989.53844921663,2227.5899,2311.05,2240.81,2353.5,2165.01,2024-01-23,280849
94759.83437277329,2226.8166,2244.6,2234.06,2267.0,2195.32,2024-01-24,177309
92579.48989754106,2210.3055,2234.34,2217.3,2244.6,2169.47,2024-01-25,161574
115886.45302266623,2249.3361,2217.29,2267.34,2287.9,2194.88,2024-01-26,170913
40537.08205597984,2268.1556,2267.47,2268.07,2282.9,2250.9,2024-01-27,114429
50291.12495642038,2274.1453,2268.12,2256.51,2307.97,2239.0,2024-01-28,118057
78469.5927823299,2281.3397,2256.47,2317.42,2322.91,2233.15,2024-01-29,138011
117316.07443257482,2344.9176,2316.5,2342.96,2391.91,2296.73,2024-01-30,167233
104552.66573803812,2315.1989,2342.96,2281.6,2352.17,2262.47,2024-01-31,153869
80362.24179426896,2281.1996,2281.55,2303.61,2311.4,2239.04,2024-02-01,149906
62360.75718858093,2303.6422,2303.66,2308.03,2324.3,2280.14,2024-02-02,123511
22669.969002939488,2310.3073,2306.59,2295.97,2329.0,2292.29,2024-02-03,84177
40852.39408440938,2293.8127,2295.97,2289.3,2310.0,2266.14,2024-02-04,93778
55167.04871811037,2301.442,2288.82,2298.91,2338.1,2268.0,2024-02-05,117064
121040.93930300626,2349.8991,2299.04,2372.13,2392.65,2295.79,2024-02-06,174296
114381.98752891926,2397.7863,2372.09,2424.55,2446.9,2352.34,2024-02-07,162745
158523.4176910219,2430.7313,2424.71,2419.78,2462.69,2410.77,2024-02-08,179232
190095.0423115519,2482.7382,2419.78,2487.84,2528.4,2418.5,2024-02-09,224726
49992.874809738474,2498.0738,2488.1,2501.08,2518.8,2473.32,2024-02-10,117350
48627.79590483935,2516.5652,2502.9,2508.9,2541.3,2494.42,2024-02-11,117720
151312.47631394197,2585.412,2508.49,2661.03,2666.66,2472.03,2024-02-12,208100
163300.16705966304,2643.0945,2661.13,2641.63,2688.0,2589.0,2024-02-13,236655
150522.005383667,2730.0312,2641.84,2777.56,2788.95,2619.36,2024-02-14,242958
170147.29761197418,2813.5608,2777.51,2825.94,2869.76,2757.5,2024-02-15,316505
142478.97113916354,2809.3908,2825.88,2803.89,2860.28,2717.32,2024-02-16,255635
63925.73790145919,2771.5889,2804.09,2786.83,2806.8,2717.4,2024-02-17,169837
96125.84926055494,2831.9554,2787.12,2877.1,2896.74,2764.0,2024-02-18,186097
153302.30694288496,2919.9883,2877.1,2945.43,2985.0,2856.4,2024-02-19,242317
216658.54798853525,2947.2034,2944.94,3015.56,3033.53,2873.6,2024-02-20,299707
203939.48479728136,2928.4958,3009.7,2968.37,3017.99,2865.18,2024-02-21,284655
194516.91188872585,2975.3244,2968.37,2969.77,3036.91,2906.0,2024-02-22,302069
110207.2579781415,2941.4717,2969.75,2921.79,2992.5,2905.7,2024-02-23,232124
58449.10486387752,2964.8768,2921.76,2992.66,3007.2,2906.2,2024-02-24,168071
139746.41440036203,3059.8954,2992.41,3113.17,3121.22,2983.45,2024-02-25,238045
204200.6821140905,3125.4217,3113.37,3178.34,3198.77,3036.1,2024-02-26,311577
211830.30473257558,3237.558,3178.69,3243.84,3291.36,3161.6,2024-02-27,374857
313191.4538048751,3332.1937,3244.35,3386.64,3496.02,3111.0,2024-02-28,495241
243536.0213229427,3426.3108,3386.64,3341.78,3521.99,3301.0,2024-02-29,448561
132747.39502884337,3408.4985,3341.78,3436.0,3455.0,3339.2,2024-03-01,319020
80730.12679747793,3426.874,3436.37,3420.1,3462.0,3393.7,2024-03-02,231249
88854.36763129951,3438.4787,3423.77,3489.54,3493.78,3360.0,2024-03-03,237327
214173.35874880396,3538.9212,3489.95,3633.23,3650.0,3429.6,2024-03-04,456347
476312.02890866826,3591.8858,3633.2,3557.41,3829.93,3200.0,2024-03-05,869168
289406.41254802805,3777.6718,3556.7,3821.82,3903.42,3499.57,2024-03-06,556925
171529.35337932632,3830.9984,3822.1,3875.28,3941.57,3736.5,2024-03-07,400631
