volume,volume_weighted,open,close,high,low,timestamp,num_trades
26666298.03720425,0.5837,0.5822,0.5969,0.60079,0.568549,2024-02-24,28698
22631762.627785232,0.5891,0.597,0.5913,0.60072,0.5804,2024-02-25,28903
46867999.69151284,0.6026,0.5914,0.6197,0.6229,0.57315,2024-02-26,50170
61263864.90806135,0.6224,0.6198,0.6242,0.631,0.60648,2024-02-27,65107
87946563.95061508,0.6307,0.6243,0.6293,0.6619,0.59391,2024-02-28,93336
121313506.59071936,0.6731,0.6295,0.6552,0.709,0.62306,2024-02-29,135067
60916849.21451754,0.6853,0.6553,0.7203,0.7214,0.6531,2024-03-01,93857
79808206.77059254,0.743,0.719,0.7422,0.7645,0.71626,2024-03-02,125254
38825492.393044874,0.7247,0.742,0.7285,0.7431,0.68283,2024-03-03,71888
99261907.98365636,0.7704,0.72822,0.7712,0.799252,0.72353,2024-03-04,162385
136802637.76167315,0.7132,0.7714,0.6932,0.7834,0.55717,2024-03-05,240335
70893780.2363697,0.7154,0.6933,0.7355,0.75702,0.66497,2024-03-06,95928
50548753.598203994,0.7415,0.7354,0.7439,0.756,0.7182,2024-03-07,88075
57183476.83581123,0.7295,0.7439,0.723024,0.755765,0.69815,2024-03-08,524782
33277326.114038054,0.7351,0.7246,0.743346,0.7473,0.71861,2024-03-09,48269
34674871.04324756,0.7264,0.7431,0.7173,0.7456,0.69875,2024-03-10,50932
88301744.81212495,0.7493,0.7173,0.7754,0.7884,0.684719,2024-03-11,121503
61497911.77540089,0.745,0.7755,0.7483,0.776274,0.70149,2024-03-12,95615
52298752.34372691,0.7542,0.7484,0.7646,0.77375,0.73508,2024-03-13,72312
103734911.6805051,0.7662,0.7647,0.7506,0.8102,0.7129,2024-03-14,143826
72497491.44138822,0.7149,0.75,0.7275,0.764,0.66925,2024-03-15,137058
46485228.57817415,0.6894,0.7276,0.6585,0.73513,0.6502,2024-03-16,88350
50120351.30158158,0.6711,0.6585,0.6808,0.7021,0.6286,2024-03-17,75786
48500400.39053211,0.6662,0.6809,0.6604,0.69981,0.64184,2024-03-18,78640
81396286.82921109,0.614,0.6601,0.5862,0.6659,0.58,2024-03-19,127631
65621727.52029786,0.608,0.5862,0.6399,0.6447,0.569,2024-03-20,103757
37618712.022533216,0.6344,0.6398,0.6315,0.64913,0.6176,2024-03-21,62666
34338520.92663802,0.6172,0.6314,0.6147,0.6427,0.59845,2024-03-22,53106
16854979.79738137,0.6279,0.6148,0.622962,0.63955,0.61027,2024-03-23,32376
19565049.268483542,0.6365,0.6231,0.6467,0.6495,0.6224,2024-03-24,31422
37483336.13848773,0.6553,0.6468,0.6565,0.668408,0.6381,2024-03-25,49798
37393212.34257637,0.6659,0.6565,0.6651,0.6839,0.6515,2024-03-26,52118
62221842.73726696,0.6489,0.6651,0.6475,0.671,0.63,2024-03-27,61965
28234639.427354224,0.6494,0.6475,0.651,0.65842,0.6349,2024-03-28,40936
36760586.609793395,0.6527,0.6512,0.6647,0.6682,0.6352,2024-03-29,46634
22549431.793836985,0.6541,0.6646,0.6438,0.670122,0.6419,2024-03-30,34150
18144911.247853667,0.6473,0.6438,0.6499,0.65422,0.6419,2024-03-31,28395
37746339.7339967,0.6246,0.6499,0.6216,0.65289,0.6052,2024-04-01,58528
42786232.372679666,0.5889,0.6216,0.5809,0.6218,0.57288,2024-04-02,67925
27459092.670908697,0.5804,0.581,0.569427,0.595,0.56277,2024-04-03,47576
30543845.43790867,0.5794,0.5694,0.58357,0.597241,0.5586,2024-04-04,46240
24039540.866731394,0.5725,0.5835,0.574183,0.5852,0.55923,2024-04-05,40141
12987997.83094198,0.5813,0.5745,0.5836,0.5897,0.5711,2024-04-06,23849
16721521.050954167,0.59,0.584,0.5888,0.5973,0.58115,2024-04-07,26577
27012287.327756874,0.6051,0.5888,0.614197,0.61707,0.5792,2024-04-08,38578
29184255.491157193,0.6058,0.6138,0.591,0.62435,0.5896,2024-04-09,40541
31776711.00245323,0.5775,0.5909,0.5861,0.59422,0.5571,2024-04-10,46150
17638477.92899958,0.5848,0.5863,0.5857,0.59529,0.5753,2024-04-11,28032
102084720.26655753,0.5219,0.5859,0.503,0.593,0.43825,2024-04-12,119881
99158534.57184762,0.4598,0.503,0.446,0.5167,0.4,2024-04-13,104200
70001943.52051105,0.4571,0.445726,0.4682,0.4785,0.4333,2024-04-14,76304
62944586.21716227,0.4673,0.467925,0.4612,0.49584,0.4392,2024-04-15,61479
43160267.63635837,0.4569,0.461068,0.4586,0.47889,0.4393,2024-04-16,44517
32937511.529733427,0.4461,0.45865,0.4441,0.46523,0.4274,2024-04-17,42637
28210737.131158512,0.4498,0.444182,0.4583,0.46218,0.434007,2024-04-18,34577
44762677.2168706,0.4585,0.458362,0.4683,0.4763,0.4228,2024-04-19,55533
38947156.01315257,0.4899,0.468291,0.50778,0.5089,0.4647,2024-04-20,49150
28325821.63777723,0.5021,0.507123,0.4992,0.51389,0.4877,2024-04-21,36051
35565570.763802305,0.5125,0.499412,0.517,0.52332,0.495,2024-04-22,36160
41152628.96708008,0.51,0.516869,0.4999,0.52246,0.497,2024-04-23,37330
33257096.003995735,0.4889,0.5,0.4746,0.51113,0.4685,2024-04-24,45767
25068721.314170457,0.4718,0.474598,0.4705,0.47982,0.462,2024-04-25,35674
16424191.866512945,0.4687,0.470589,0.4628,0.47923,0.4605,2024-04-26,30251
15719505.039133204,0.4583,0.462474,0.467,0.47029,0.44484,2024-04-27,30620
14127795.042363921,0.4686,0.466717,0.46048,0.4788,0.458,2024-04-28,23258
21875711.996253856,0.4547,0.459945,0.457,0.46407,0.4464,2024-04-29,29402
36530721.70351024,0.4395,0.457063,0.4409,0.46369,0.4255,2024-04-30,45008
39724683.90312284,0.439,0.440751,0.4493,0.45761,0.4179,2024-05-01,42950
36152047.58382595,0.4523,0.449606,0.4577,0.46359,0.4383,2024-05-02,27865
28339873.116129354,0.4599,0.457881,0.4675,0.4746,0.4463,2024-05-03,26355
20709956.667224117,0.4683,0.467659,0.4633,0.4772,0.462417,2024-05-04,20872
15297801.030775713,0.4591,0.462999,0.4581,0.46658,0.45148,2024-05-05,17902
26844287.92917072,0.4619,0.457958,0.4538,0.4764,0.4515,2024-05-06,29163
29879704.657690182,0.4504,0.454122,0.4414,0.45709,0.4407,2024-05-07,25900
34522809.00294802,0.4515,0.441394,0.45259,0.46989,0.4364,2024-05-08,36254
18396908.907763246,0.4568,0.451293,0.463489,0.46561,0.4467,2024-05-09,23389
21586026.308276232,0.4558,0.463482,0.4477,0.46958,0.443,2024-05-10,29960
18667560.229233008,0.4419,0.447902,0.4388,0.45103,0.437217,2024-05-11,22253
8488698.33824804,0.4391,0.438476,0.43763,0.44393,0.432411,2024-05-12,12118
25307573.251123138,0.4402,0.43763,0.4366,0.45379,0.4251,2024-05-13,24468
14542401.312637283,0.4326,0.436431,0.427801,0.4389,0.426,2024-05-14,17321
30446360.12961081,0.4419,0.427872,0.4527,0.45574,0.4258,2024-05-15,24550
33194187.99793987,0.4565,0.452633,0.459872,0.463596,0.4486,2024-05-16,23669
38661903.14567505,0.4744,0.459865,0.4822,0.49162,0.4552,2024-05-17,30377
15379561.691397106,0.4818,0.482192,0.4824,0.48676,0.4757,2024-05-18,15717
21355134.59386201,0.4721,0.482008,0.46715,0.48416,0.462006,2024-05-19,15453
53931908.736171566,0.4766,0.467149,0.5021,0.50326,0.460606,2024-05-20,36442
30926142.60524289,0.5005,0.502093,0.4945,0.51052,0.4906,2024-05-21,35329
23479986.54249043,0.4837,0.494481,0.4832,0.49561,0.4747,2024-05-22,24150
34457950.196825996,0.4676,0.483134,0.46614,0.48897,0.44408,2024-05-23,40061
19144804.736382086,0.461,0.46541,0.459911,0.4701,0.454,2024-05-24,24026
10515474.294442054,0.4606,0.459912,0.46273,0.46515,0.457,2024-05-25,15557
10899709.758580506,0.4593,0.461943,0.458,0.46326,0.4547,2024-05-26,12421
16853532.523510076,0.4654,0.457872,0.4681,0.4749,0.4563,2024-05-27,19120
14778473.548262298,0.4582,0.46806,0.4572,0.46988,0.4515,2024-05-28,18459
16669749.847912261,0.4572,0.457091,0.4507,0.46467,0.4502,2024-05-29,20052
22246086.60443588,0.4498,0.450578,0.4464,0.4684,0.44,2024-05-30,20267
13125423.66408421,0.4489,0.446304,0.4464,0.45573,0.4433,2024-05-31,17945
7503759.401045674,0.4487,0.446649,0.4495,0.4534,0.4445,2024-06-01,10068
9748929.681634262,0.4485,0.449687,0.4462,0.45429,0.4402,2024-06-02,11943
15589116.132722544,0.4545,0.446244,0.4574,0.46354,0.4431,2024-06-03,18574
20066541.80027259,0.4598,0.456924,0.461418,0.4661,0.4525,2024-06-04,20727
15946300.176432036,0.4617,0.461434,0.4614,0.469,0.45689,2024-06-05,18594
20370953.57625095,0.4578,0.4612,0.4581,0.4622,0.446,2024-06-06,20704
55811365.8344361,0.4646,0.457865,0.4492,0.490002,0.42478,2024-06-07,54509
18430908.724479537,0.4392,0.449173,0.4368,0.44954,0.4321,2024-06-08,22671
